Filename,Source,Emotion,Context,Extra Notes
ozzie_cuddly_1.png,Ozzie,cuddly,dad giving scratches in bed,"quiet, a little playful, sneeze, dad talking"
ozzie_anxious_1.png,Ozzie,anxious,mom and dad in the hot tub,"high pitched, on hind legs, hot tub and mom talking means noise in the background"
ozzie_needy_1.png,Ozzie,needy,"wants attention from dad, getting scratches in living room, cuddly and anxious too","dad asking if timmy fell down the well, did a little yawn"
ozzie_cuddly_2.png,Ozzie,cuddly,"marie giving scratches on living room floor, playful too",marie talking to him too
ozzie_cuddly_3.png,Ozzie,cuddly,"marie giving scratches in living room, playful too",marie laughing and talking too
ozzie_playful_1.png,Ozzie,playful,kitty playing tug of war on living room floor,"kitty and dad laughing and talking too, also a squeaky toy, got angry at the camera/dad for a minute and cuddly/wanting attention in the end"
ozzie_needy_2.png,Ozzie,needy,dad talking to him on the bed,dad also talking
ozzie_excited_1.png,Ozzie,excited,Ozzie seeing Marie for the first time in 9 months,"Marie, mom, dad, and popop laughing and talking  and ron talking "
youtube_playful_laugh_1.png,YouTube,playful,golden/lab laughing with kong,"pant-laugh, playful"
youtube_answer_howl_1.png,YouTube,answer,doberman howling to call others,could be anxiety or attention-seeking
youtube_overexcited_sneeze_1.png,YouTube,over_excited,beagle/basset reverse sneezing,loud sneeze/honk
youtube_dreaming_whimper_1.png,YouTube,dreaming,german shepherd whimpering in sleep,"soft, sleep vocalization"
youtube_needy_whine_1.png,YouTube,needy,whining for attention or separation,possible fear or pain
youtube_cuddly_grumble_1.png,YouTube,cuddly,rottweiler grumbling while getting pets,"pleasure grumble, ears scratched"
youtube_scared_growl_1.png,YouTube,scared,long-haired chihuahua growling,"could be guarding, pain, or play growl"
youtube_happy_growl_1.png,YouTube,happy,golden retriever growling and whining,"wagging tail, holding something in their mouth"
